# Columns: Station Code, latitude, longitude, regression dist (km), intensity, network code, Channel 1 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g), Channel 2 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g), Channel 3 Code, PGV (cm/sec), PGA (%g), PSA 0.3 sec (%g), PSA 1.0 sec (%g), PSA 3.0 sec (%g)
CI.KIK,34.15037,-118.10156,589.31,1.0, CI, --.HNZ,0.0047,0.0103,0.0085,0.0085,0.0015, --.HNN,0.0068,0.006,0.0043,0.0069,0.0019, --.HNE,0.0057,0.0041,0.0048,0.0067,0.0022
CI.KML,33.59738,-117.87909,650.42,1.0, CI, --.HNZ,0.0017,0.0017,0.0028,0.0017,0.0009, --.HNN,0.0017,0.0012,0.002,0.0018,0.001, --.HNE,0.0029,0.0014,0.0032,0.0014,0.0017
CI.LAT,34.04449,-118.77643,562.05,1.0, CI, --.HNZ,0.0048,0.0011,0.0014,0.0031,0.0023, --.HNN,0.0046,0.0014,0.0022,0.0037,0.0012, --.HNE,0.0057,0.0011,0.0016,0.003,0.0016
CI.LCG,34.00033,-118.37794,587.05,1.0, CI, --.HHE,0.0047,0.0034,0.0045,0.0049,0.0038, --.HHN,0.0115,0.0057,0.0052,0.0051,0.0093, --.HHZ,0.0074,0.0052,0.0063,0.0045,0.0056
CI.LCP,34.73551,-120.27996,427.43,1.0, CI, --.HHE,0.0144,0.0139,0.0244,0.0172,0.0066, --.HHN,0.0226,0.0146,0.0334,0.0428,0.0079, --.HHZ,0.016,0.0077,0.0183,0.0172,0.0119
CI.LDR,34.9906,-118.34156,504.59,1.0, CI, --.HHE,0.0059,0.0025,0.0073,0.0042,0.0021, --.HHN,0.0054,0.0028,0.0088,0.005,0.0028, --.HHZ,0.0068,0.003,0.0097,0.0058,0.0029
CI.LEO,34.63064,-118.30505,536.4,1.0, CI, --.HNZ,0.005,0.002,0.0071,0.0041,0.0026, --.HNN,0.0041,0.0019,0.0038,0.0052,0.0016, --.HNE,0.0063,0.002,0.0035,0.0037,0.0036
CI.LFP,34.30529,-118.48805,553.84,1.0, CI, --.HHE,0.0054,0.0043,0.006,0.0056,0.0016, --.HHN,0.0098,0.0054,0.0053,0.0096,0.008, --.HHZ,0.0132,0.0051,0.0047,0.0058,0.0105
CI.LJR,34.80762,-118.86775,488.44,1.0, CI, --.HHE,0.0046,0.0029,0.0069,0.0062,0.0015, --.HHN,0.006,0.0044,0.0098,0.0059,0.0031, --.HHZ,0.0038,0.0028,0.0065,0.0085,0.0026
CI.LLS,33.68447,-117.94304,639.13,1.0, CI, --.HHE,0.005,0.0024,0.0039,0.0039,0.0026, --.HHN,0.006,0.0025,0.0045,0.0059,0.002, --.HHZ,0.0051,0.0021,0.0024,0.0029,0.003
CI.LMR2,34.93439,-117.69629,550.96,1.0, CI, --.HHE,0.0018,0.0029,0.0018,0.0021,0.0009, --.HHN,0.0025,0.0045,0.0018,0.003,0.0011, --.HHZ,0.0027,0.0018,0.0038,0.0037,0.001
CI.LOC,34.69073,-120.4469,425.86,1.0, CI, --.HHE,0.027,0.0098,0.0141,0.021,0.0089, --.HHN,0.0225,0.0103,0.0148,0.0246,0.0141, --.HHZ,0.0143,0.0071,0.0111,0.0155,0.0157
CI.LPC,34.31478,-117.54642,609.14,1.0, CI, --.HHE,0.0024,0.0016,0.0041,0.0049,0.0011, --.HHN,0.0027,0.0017,0.004,0.0043,0.001, --.HHZ,0.0024,0.0015,0.0035,0.0042,0.0011
CI.LRL,35.47954,-117.68212,512.83,1.0, CI, --.HHE,0.0035,0.0058,0.0031,0.0031,0.0015, --.HHN,0.0034,0.0129,0.0026,0.0033,0.0012, --.HHZ,0.0036,0.0052,0.0017,0.0025,0.0011
CI.LRR2,34.52706,-118.02998,561.71,1.0, CI, --.HHE,0.0034,0.0013,0.0028,0.0024,0.0018, --.HHN,0.0027,0.0013,0.0031,0.0025,0.0009, --.HHZ,0.0028,0.0013,0.0022,0.0036,0.0012
CI.LTP,33.8811,-118.17568,608.77,1.0, CI, --.HHE,0.0047,0.0036,0.0048,0.0044,0.0024, --.HHN,0.0048,0.0036,0.005,0.0071,0.0023, --.HHZ,0.0069,0.0033,0.0041,0.0058,0.0031
CI.LUG,34.3656,-117.36683,616.56,1.0, CI, --.HHE,0.0056,0.0025,0.0048,0.0056,0.0042, --.HHN,0.0063,0.002,0.0066,0.0054,0.0044, --.HHZ,0.0045,0.002,0.0067,0.005,0.0016
CI.MAG,35.36165,-118.92282,438.35,1.0, CI, --.HNZ,0.0099,0.0147,0.0238,0.0102,0.0065, --.HNN,0.0116,0.0058,0.0078,0.0084,0.0055, --.HNE,0.032,0.0069,0.0085,0.0091,0.0035
CI.MCT,34.22645,-116.04073,716.93,1.0, CI, --.HHE,0.0011,0.0004,0.0007,0.0008,0.0004, --.HHN,0.0011,0.0004,0.0005,0.0014,0.0006, --.HHZ,0.0012,0.0005,0.0007,0.001,0.0004
CI.MIS,33.7403,-118.33517,612.87,1.0, CI, 00.HNE,0.0036,0.0019,0.0022,0.0037,0.0022, 00.HNN,0.0063,0.0016,0.0023,0.0039,0.0028, 00.HNZ,0.0039,0.0011,0.0016,0.0025,0.0018
CI.MLAC,37.63019,-118.83605,312.65,1.0, CI, --.HHE,0.194,0.0937,0.1623,0.3496,0.0709, --.HHN,0.2326,0.0944,0.1436,0.3022,0.087, --.HHZ,0.1137,0.0525,0.0769,0.1424,0.0291
