name,lat2,lon3,population,mmi,iscapital
Colma,37.67688,-122.4597,1792,3.78,0
Fairfax,37.98715,-122.58887,7441,3.78,0
Inverness,38.10103,-122.85694,1304,3.78,0
Bolinas,37.90937,-122.68637,1620,3.77,0
Clayton,37.94103,-121.93579,10897,3.77,0
San Anselmo,37.97465,-122.56164,12336,3.77,0
Broadmoor,37.6866,-122.48275,4176,3.76,0
Larkspur,37.93409,-122.53525,11926,3.75,0
Sausalito,37.85909,-122.48525,7061,3.75,0
South San Francisco,37.65466,-122.40775,63632,3.75,0
Corte Madera,37.92548,-122.52748,9253,3.73,0
Sleepy Hollow,38.01048,-122.58442,2384,3.73,0
Berkeley,37.87159,-122.27275,112580,3.72,0
San Mateo,37.56299,-122.32553,97207,3.72,0
Alamo,37.8502,-122.03218,14570,3.71,0
Daly City,37.70577,-122.46192,101123,3.71,0
Orinda,37.87715,-122.17969,17643,3.71,0
